kabupaten_kota,tahun,hls__nilai,rls__nilai,amh__nilai,sd__Jumlah Sekolah SD (Negeri),sd__Jumlah Sekolah SD (Swasta),sd__Jumlah Sekolah SD (Negeri+Swasta),sd__Jumlah Guru SD (Negeri),sd__Jumlah Guru SD (Swasta),sd__Jumlah Guru SD (Negeri+Swasta),sd__Jumlah Murid SD (Negeri),sd__Jumlah Murid SD (Swasta),sd__Jumlah Murid SD (Negeri+Swasta),smp__Jumlah Sekolah SMP (Negeri),smp__Jumlah Sekolah SMP (Swasta),smp__Jumlah Sekolah SMP (Negeri+Swasta),smp__Jumlah Guru SMP (Negeri),smp__Jumlah Guru SMP (Swasta),smp__Jumlah Guru SMP (Negeri+Swasta),smp__Jumlah Murid SMP (Negeri),smp__Jumlah Murid SMP (Swasta),smp__Jumlah Murid SMP (Negeri+Swasta),sma__Jumlah Sekolah SMA (Negeri),sma__Jumlah Sekolah SMA (Swasta),sma__Jumlah Sekolah SMA (Negeri+Swasta),sma__Jumlah Guru SMA (Negeri),sma__Jumlah Guru SMA (Swasta),sma__Jumlah Guru SMA (Negeri+Swasta),sma__Jumlah Murid SMA (Negeri),sma__Jumlah Murid SMA (Swasta),sma__Jumlah Murid SMA (Negeri+Swasta),smk__Jumlah Sekolah SMK (Negeri),smk__Jumlah Sekolah SMK (Swasta),smk__Jumlah Sekolah SMK (Negeri+Swasta),smk__Jumlah Guru SMK (Negeri),smk__Jumlah Guru SMK (Swasta),smk__Jumlah Guru SMK (Negeri+Swasta),smk__Jumlah Murid SMK (Negeri),smk__Jumlah Murid SMK (Swasta),smk__Jumlah Murid SMK (Negeri+Swasta)
Kota Lhokseumawe,2019,15.19,10.9,99.51,58,12,70,1193,156,1349,16313,1899,18212,18,10,28,659,131,790,6818,922,7740,8,4,12,395,41,436,3564,427,3991,8,4,12,437,53,490,4459,414,4873
Kota Lhokseumawe,2020,15.2,10.91,99.51,58,13,71,1212,178,1390,15929,2151,18080,18,9,27,662,134,796,6721,1035,7756,8,4,12,401,39,440,3396,375,3771,8,5,13,453,57,510,4294,388,4682
Kota Lhokseumawe,2021,15.21,11.11,99.22,58,15,73,1169,196,1365,15337,2435,17772,18,12,30,626,141,767,6520,1130,7650,8,3,11,365,32,397,3198,366,3564,8,5,13,439,59,498,4490,342,4832
Kota Lhokseumawe,2022,15.27,11.12,99.42,58,17,75,1209,237,1446,15342,2744,18086,18,15,33,592,170,762,6218,1336,7554,8,3,11,343,32,375,3339,376,3715,8,4,12,442,50,492,3970,367,4337
Kota Lhokseumawe,2023,15.54,11.27,99.53,58,16,74,1195,248,1444,15424,3000,18424,18,17,35,536,183,719,6258,1437,7695,8,5,13,332,47,379,3501,510,4011,8,4,12,446,47,493,4152,325,4477
Kota Lhokseumawe,2024,15.55,11.31,99.2,58,16,74,1181,260,1441,15506,3256,18762,18,18,36,551,186,737,6399,1436,7835,8,6,14,351,49,400,3635,619,4254,8,4,12,459,37,496,4216,332,4548
Kota Lhokseumawe,2025,15.55,11.31,99.2,58,16,74,1144,288,1432,15648,3463,19111,19,17,36,536,178,714,6427,1410,7837,8,6,14,344,71,415,3600,658,4258,8,5,13,454,60,514,4287,337,4624
Kota Sabang,2016,13.17,10.51,99.76,24,1,25,416,13,407,3633,176,3914,8,1,9,249,15,264,1268,174,1442,2,1,3,126,13,139,937,101,1038,1,0,1,47,0,47,199,0,199
Kota Sabang,2017,13.58,10.7,99.76,24,1,25,396,12,408,3665,176,3841,8,1,9,229,10,239,1349,207,1556,2,1,3,127,12,139,942,94,1036,1,0,1,46,0,46,228,0,228
Kota Sabang,2018,13.66,10.97,99.76,24,1,25,378,12,390,3730,170,3900,8,1,9,223,15,238,1370,225,1595,2,1,3,110,9,119,913,101,1014,1,0,1,43,0,43,274,0,274
Kota Sabang,2019,13.81,11.13,99.76,24,1,25,394,13,407,3745,169,3914,8,1,9,226,14,240,1329,252,1581,2,1,3,94,6,100,941,114,1055,1,0,1,40,0,40,319,0,319
Kota Sabang,2020,13.95,11.14,99.76,25,0,25,403,0,403,3903,0,3903,8,1,9,240,17,257,1249,306,1555,2,1,3,96,6,102,1006,142,1148,1,0,1,41,0,41,336,0,336
Kota Sabang,2021,14.13,11.18,99.46,25,0,25,400,0,400,3824,0,3824,8,1,9,222,15,237,1249,332,1581,2,1,3,98,7,105,1073,177,1250,1,0,1,38,0,38,371,0,371
Kota Sabang,2022,14.4,11.19,99.34,25,0,25,401,0,401,3848,0,3848,8,1,9,209,17,226,1298,287,1585,2,1,3,95,14,109,1038,158,1196,1,0,1,44,0,44,363,0,363
Kota Sabang,2023,14.68,11.2,99.23,25,0,26,392,4,396,3732,16,3748,8,1,9,203,16,219,1370,229,1599,2,1,3,92,12,104,1081,142,1223,1,0,1,45,0,45,381,0,381
Kota Sabang,2024,14.97,11.22,99.62,25,1,26,383,7,390,3616,32,3648,9,1,10,203,15,218,1429,148,1577,2,1,3,101,12,113,1126,133,1259,1,0,1,45,0,45,386,0,386
Kota Sabang,2025,14.97,11.22,99.62,25,1,26,377,9,386,3563,58,3621,9,1,10,195,14,209,1482,113,1595,2,1,3,96,12,108,1127,119,1246,1,0,1,46,0,46,402,0,402
Kota Subulussalam,2016,14.18,6.88,97.01,78,2,83,952,14,934,11254,152,12116,16,4,20,265,50,315,3144,1019,4163,7,5,12,162,44,206,2497,637,3134,4,0,4,101,0,101,1382,0,1382
Kota Subulussalam,2017,14.19,7.12,97.01,78,5,83,865,20,885,11211,288,11499,16,7,23,255,59,314,3205,1112,4317,7,5,12,183,46,229,2519,664,3183,5,0,5,116,0,116,1411,0,1411
Kota Subulussalam,2018,14.2,7.39,97.01,78,5,83,840,25,865,11320,381,11701,16,8,24,246,72,318,2934,1239,4173,7,6,13,194,51,245,2624,754,3378,5,0,5,128,0,128,1492,0,1492
Kota Subulussalam,2019,14.21,7.58,97.01,78,5,83,899,35,934,11596,520,12116,16,10,26,252,82,334,2921,1693,4614,7,7,14,182,64,246,2518,888,3406,5,0,5,139,0,139,1574,0,1574
Kota Subulussalam,2020,14.61,7.84,97.01,79,4,83,924,28,952,11687,589,12276,16,11,27,259,100,359,2588,1993,4581,7,7,14,203,61,264,2223,973,3196,5,0,5,149,0,149,1582,0,1582
Kota Subulussalam,2021,14.62,8.03,97.25,82,4,86,934,37,971,11678,664,12342,16,14,30,257,104,361,2453,2256,4709,8,6,14,199,47,246,2179,899,3078,5,1,6,162,2,164,1521,20,1541
Kota Subulussalam,2022,14.81,8.22,98.07,82,4,86,1004,42,1046,11793,662,12455,16,19,35,259,137,396,2222,2342,4564,8,6,14,209,46,255,2110,903,3013,5,1,6,169,2,171,1369,27,1396
Kota Subulussalam,2023,15.06,8.32,96.99,82,4,86,1045,42,1087,12120,660,12780,16,21,37,265,160,425,2270,2375,4645,8,6,14,225,48,273,2097,926,3023,5,1,6,181,2,183,1255,52,1307
Kota Subulussalam,2024,15.31,8.43,96.44,82,4,86,1086,42,1128,12446,658,13104,16,24,40,279,156,435,2415,2316,4731,8,6,14,224,45,269,2209,911,3120,5,1,6,182,3,185,1243,44,1287
Kota Subulussalam,2025,15.31,8.43,96.44,82,5,87,1111,51,1162,12603,738,13341,16,27,43,281,196,477,2628,2262,4890,8,6,14,222,64,286,2360,842,3202,5,1,6,178,5,183,1266,44,1310
