kabupaten_kota,tahun,hls__nilai,rls__nilai,amh__nilai,sd__Jumlah Sekolah SD (Negeri),sd__Jumlah Sekolah SD (Swasta),sd__Jumlah Sekolah SD (Negeri+Swasta),sd__Jumlah Guru SD (Negeri),sd__Jumlah Guru SD (Swasta),sd__Jumlah Guru SD (Negeri+Swasta),sd__Jumlah Murid SD (Negeri),sd__Jumlah Murid SD (Swasta),sd__Jumlah Murid SD (Negeri+Swasta),smp__Jumlah Sekolah SMP (Negeri),smp__Jumlah Sekolah SMP (Swasta),smp__Jumlah Sekolah SMP (Negeri+Swasta),smp__Jumlah Guru SMP (Negeri),smp__Jumlah Guru SMP (Swasta),smp__Jumlah Guru SMP (Negeri+Swasta),smp__Jumlah Murid SMP (Negeri),smp__Jumlah Murid SMP (Swasta),smp__Jumlah Murid SMP (Negeri+Swasta),sma__Jumlah Sekolah SMA (Negeri),sma__Jumlah Sekolah SMA (Swasta),sma__Jumlah Sekolah SMA (Negeri+Swasta),sma__Jumlah Guru SMA (Negeri),sma__Jumlah Guru SMA (Swasta),sma__Jumlah Guru SMA (Negeri+Swasta),sma__Jumlah Murid SMA (Negeri),sma__Jumlah Murid SMA (Swasta),sma__Jumlah Murid SMA (Negeri+Swasta),smk__Jumlah Sekolah SMK (Negeri),smk__Jumlah Sekolah SMK (Swasta),smk__Jumlah Sekolah SMK (Negeri+Swasta),smk__Jumlah Guru SMK (Negeri),smk__Jumlah Guru SMK (Swasta),smk__Jumlah Guru SMK (Negeri+Swasta),smk__Jumlah Murid SMK (Negeri),smk__Jumlah Murid SMK (Swasta),smk__Jumlah Murid SMK (Negeri+Swasta)
Kabupaten Aceh Jaya,2016,13.94,7.95,96.93,98,0,98,861,0,1051,8822,0,9422,30,4,34,351,50,401,2418,509,2927,11,3,14,188,31,219,1765,393,2158,6,1,7,93,15,108,566,126,692
Kabupaten Aceh Jaya,2017,13.95,813.0,96.93,98,0,98,921,0,921,9309,0,9309,30,4,34,377,59,436,2313,487,2800,11,3,14,218,37,255,1805,537,2342,6,1,7,100,15,115,576,159,735
Kabupaten Aceh Jaya,2018,13.96,8.37,96.93,98,0,98,896,0,896,9405,0,9405,31,4,35,373,52,425,2361,552,2913,11,3,14,227,50,277,1785,530,2315,6,1,7,101,16,117,594,148,742
Kabupaten Aceh Jaya,2019,13.97,8.66,96.93,98,0,98,1051,0,1051,9422,0,9422,31,4,35,392,56,448,2819,695,3514,11,3,14,223,51,274,1756,541,2297,6,1,7,102,17,119,613,137,750
Kabupaten Aceh Jaya,2020,13.98,8.7,96.93,98,0,98,1193,0,1193,9178,0,9178,31,4,35,471,78,549,3244,686,3930,11,3,14,223,51,274,1690,433,2123,6,1,7,103,16,119,719,114,833
Kabupaten Aceh Jaya,2021,13.99,8.71,95.67,98,0,98,1082,0,1082,9187,0,9187,31,4,35,426,67,493,3192,707,3899,11,3,14,202,45,247,1763,436,2199,6,1,7,106,15,121,745,119,864
Kabupaten Aceh Jaya,2022,14.01,8.72,95.52,98,0,98,1094,0,1094,9023,0,9023,31,6,37,471,71,542,2968,695,3663,11,3,14,212,43,255,2026,478,2504,6,1,7,119,14,133,806,132,938
Kabupaten Aceh Jaya,2023,14.02,8.74,96.66,98,0,98,1119,0,1119,8982,0,8982,31,7,38,482,63,545,2926,727,3653,11,3,14,226,36,262,2285,384,2669,6,1,7,142,14,156,809,149,958
Kabupaten Aceh Jaya,2024,14.06,9.02,96.91,98,0,98,1144,0,1144,8940,0,8940,31,7,38,512,66,578,3074,712,3786,11,3,14,227,26,253,2400,328,2728,6,1,7,138,11,149,868,153,1021
Kabupaten Aceh Jaya,2025,14.06,9.02,96.91,98,0,98,1157,0,1157,8973,0,8973,31,7,38,517,95,612,3091,657,3748,11,3,14,220,27,247,2266,319,2585,6,1,7,142,11,153,882,150,1032
Kabupaten Aceh Selatan,2016,13.53,8.02,96.82,201,2,205,2687,20,2578,19840,209,20300,52,5,57,849,40,889,8897,371,9268,27,6,33,671,49,720,7042,434,7476,10,1,11,259,7,266,1515,67,1582
Kabupaten Aceh Selatan,2017,13.8,8.33,96.82,201,2,203,2589,16,2605,19698,243,19941,52,6,58,912,52,964,8532,432,8964,27,6,33,685,79,764,6908,534,7442,10,1,11,240,7,247,1535,65,1600
Kabupaten Aceh Selatan,2018,14.15,8.38,96.82,201,2,203,2508,15,2523,19848,272,20120,52,6,58,920,57,977,8030,493,8523,27,6,33,753,94,847,6729,584,7313,10,1,11,245,8,254,1527,68,1595
Kabupaten Aceh Selatan,2019,14.41,8.59,96.82,201,4,205,2544,34,2578,19924,376,20300,52,6,58,926,74,1000,7979,510,8489,28,5,33,765,73,838,6659,497,7156,10,1,11,250,10,260,1519,71,1590
Kabupaten Aceh Selatan,2020,14.42,8.87,96.82,201,4,205,2660,38,2698,19763,436,20199,52,6,58,979,79,1058,7992,496,8488,28,5,33,797,78,875,6416,432,6848,10,1,11,254,11,265,1435,111,1546
Kabupaten Aceh Selatan,2021,14.6,8.88,96.58,202,3,205,2564,35,2599,19591,445,20036,52,8,60,961,88,1049,7890,617,8507,28,5,33,752,69,821,6147,421,6568,10,1,11,262,16,278,1454,97,1551
Kabupaten Aceh Selatan,2022,14.69,8.89,96.7,202,3,205,2641,29,2670,19544,505,20049,52,8,60,994,103,1097,7837,740,8577,28,5,33,772,68,840,6036,348,6384,10,1,11,287,14,301,1291,83,1374
Kabupaten Aceh Selatan,2023,14.7,8.91,97.42,202,4,206,2550,35,2584,19480,546,20026,52,10,62,955,110,1065,7806,945,8751,28,5,33,806,62,868,6246,327,6573,10,2,12,305,20,325,1338,98,1436
Kabupaten Aceh Selatan,2024,14.71,8.92,97.58,202,4,206,2458,41,2499,19416,588,20004,52,11,63,949,109,1058,7991,1049,9040,29,5,34,840,62,902,6382,454,6836,10,2,12,307,16,323,1408,79,1487
Kabupaten Aceh Selatan,2025,14.71,8.92,97.58,202,4,206,2481,45,2526,19126,639,19765,53,11,64,964,112,1076,8028,1201,9229,30,6,36,853,80,933,6304,622,6926,10,2,12,299,23,322,1472,63,1535
