kabupaten_kota,tahun,rasio_murid_per_guru_sd,Label_SD,Prediksi_Label_SD,rasio_murid_per_guru_smp,Label_SMP,Prediksi_Label_SMP,rasio_murid_per_guru_sma,Label_SMA,Prediksi_Label_SMA,rasio_murid_per_guru_smk,Label_SMK,Prediksi_Label_SMK
Kabupaten Aceh Singkil,2020,12.783621337340346,Perlu Peningkatan,Perlu Peningkatan,8.976708074534162,Perlu Peningkatan,Perlu Peningkatan,13.399317406143345,Perlu Peningkatan,Perlu Peningkatan,7.255172413793104,Baik,Baik
Kabupaten Aceh Singkil,2021,13.313084112149532,Perlu Peningkatan,Perlu Peningkatan,9.732463295269168,Perlu Peningkatan,Perlu Peningkatan,12.863636363636363,Perlu Peningkatan,Perlu Peningkatan,7.006756756756757,Baik,Baik
Kabupaten Aceh Singkil,2022,12.265261627906977,Perlu Peningkatan,Perlu Peningkatan,9.677672955974844,Perlu Peningkatan,Perlu Peningkatan,11.616949152542373,Perlu Peningkatan,Perlu Peningkatan,5.5271739130434785,Baik,Baik
Kabupaten Aceh Singkil,2023,12.345507669831994,Perlu Peningkatan,Perlu Peningkatan,10.188163884673749,Perlu Peningkatan,Perlu Peningkatan,10.958199356913184,Perlu Peningkatan,Perlu Peningkatan,4.504901960784314,Baik,Baik
Kabupaten Aceh Singkil,2024,12.426578560939795,Perlu Peningkatan,Perlu Peningkatan,11.078616352201259,Perlu Peningkatan,Perlu Peningkatan,12.1,Perlu Peningkatan,Perlu Peningkatan,4.761904761904762,Baik,Baik
Kabupaten Aceh Singkil,2025,13.16024653312789,Perlu Peningkatan,Perlu Peningkatan,11.066964285714286,Perlu Peningkatan,Perlu Peningkatan,12.554517133956386,Perlu Peningkatan,Perlu Peningkatan,5.135869565217392,Baik,Baik
Kabupaten Aceh Tamiang,2016,15.506821627084387,Perlu Peningkatan,Perlu Peningkatan,11.909090909090908,Perlu Peningkatan,Perlu Peningkatan,12.899841017488077,Perlu Peningkatan,Perlu Peningkatan,9.465798045602606,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tamiang,2017,16.77361563517915,Perlu Peningkatan,Perlu Peningkatan,12.030090270812437,Perlu Peningkatan,Perlu Peningkatan,11.312934631432546,Perlu Peningkatan,Perlu Peningkatan,9.761904761904763,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tamiang,2018,16.721705850191363,Perlu Peningkatan,Perlu Peningkatan,12.463874345549739,Perlu Peningkatan,Perlu Peningkatan,11.045092838196286,Perlu Peningkatan,Perlu Peningkatan,10.26086956521739,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tamiang,2019,15.506821627084387,Perlu Peningkatan,Perlu Peningkatan,12.268849206349206,Perlu Peningkatan,Perlu Peningkatan,11.418635170603675,Perlu Peningkatan,Perlu Peningkatan,10.706060606060607,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tamiang,2020,14.604390243902438,Perlu Peningkatan,Perlu Peningkatan,12.279227053140097,Perlu Peningkatan,Perlu Peningkatan,11.154037267080746,Perlu Peningkatan,Perlu Peningkatan,9.860795454545455,Perlu Peningkatan,Perlu Peningkatan
