kabupaten_kota,tahun,rls__nilai,Label_RLS,Prediksi_Label,Prediksi_Benar
Kabupaten Bener Meriah,2023,10.12,Baik,Baik,True
Kabupaten Bener Meriah,2024,10.13,Baik,Baik,True
Kabupaten Bener Meriah,2025,10.13,Baik,Baik,True
Kabupaten Bireuen,2016,9.15,Baik,Baik,True
Kabupaten Bireuen,2017,9.16,Baik,Baik,True
Kabupaten Bireuen,2018,9.17,Baik,Baik,True
Kabupaten Bireuen,2019,9.27,Baik,Baik,True
Kabupaten Bireuen,2020,9.28,Baik,Baik,True
Kabupaten Bireuen,2021,9.29,Baik,Baik,True
Kabupaten Bireuen,2022,9.31,Baik,Baik,True
Kabupaten Bireuen,2023,9.32,Baik,Baik,True
Kabupaten Bireuen,2024,9.59,Baik,Baik,True
Kabupaten Bireuen,2025,9.59,Baik,Baik,True
Kabupaten Gayo Lues,2016,7.1,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Gayo Lues,2017,7.39,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Gayo Lues,2018,7.69,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Gayo Lues,2019,7.91,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Gayo Lues,2020,8.2,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Gayo Lues,2021,8.4,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Gayo Lues,2022,8.41,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Gayo Lues,2023,8.42,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Gayo Lues,2024,8.44,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Gayo Lues,2025,8.44,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Nagan Raya,2016,8.24,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Nagan Raya,2017,8.25,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Nagan Raya,2018,8.26,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Nagan Raya,2019,8.5,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Nagan Raya,2020,8.68,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Nagan Raya,2021,8.69,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Nagan Raya,2022,8.95,Perlu Peningkatan,Baik,False
Kabupaten Nagan Raya,2023,8.96,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Nagan Raya,2024,9.25,Baik,Baik,True
Kabupaten Nagan Raya,2025,9.25,Baik,Baik,True
Kabupaten Pidie,2016,8.75,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Pidie,2017,8.76,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Pidie,2018,8.81,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Pidie,2019,8.82,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Pidie,2020,8.99,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Pidie,2021,9.0,Baik,Baik,True
Kabupaten Pidie,2022,9.02,Baik,Baik,True
Kabupaten Pidie,2023,9.03,Baik,Baik,True
Kabupaten Pidie,2024,9.04,Baik,Baik,True
Kabupaten Pidie,2025,9.04,Baik,Baik,True
Kabupaten Pidie Jaya,2016,8.46,Perlu Peningkatan,Baik,False
Kabupaten Pidie Jaya,2017,8.84,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Pidie Jaya,2018,8.86,Perlu Peningkatan,Baik,False
Kabupaten Pidie Jaya,2019,9.04,Baik,Baik,True
Kabupaten Pidie Jaya,2020,9.33,Baik,Baik,True
Kabupaten Pidie Jaya,2021,9.34,Baik,Baik,True
Kabupaten Pidie Jaya,2022,9.53,Baik,Baik,True
Kabupaten Pidie Jaya,2023,9.58,Baik,Baik,True
Kabupaten Pidie Jaya,2024,9.59,Baik,Baik,True
Kabupaten Pidie Jaya,2025,9.59,Baik,Baik,True
Kabupaten Simeulue,2016,8.91,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Simeulue,2017,9.06,Baik,Baik,True
Kabupaten Simeulue,2018,9.07,Baik,Baik,True
Kabupaten Simeulue,2019,9.08,Baik,Baik,True
Kabupaten Simeulue,2020,9.34,Baik,Baik,True
Kabupaten Simeulue,2021,9.48,Baik,Baik,True
Kabupaten Simeulue,2022,9.73,Baik,Baik,True
Kabupaten Simeulue,2023,9.81,Baik,Baik,True
Kabupaten Simeulue,2024,9.89,Baik,Baik,True
Kabupaten Simeulue,2025,9.89,Baik,Baik,True
Kota Banda Aceh,2016,12.57,Baik,Baik,True
Kota Banda Aceh,2017,12.59,Baik,Baik,True
Kota Banda Aceh,2018,12.6,Baik,Baik,True
Kota Banda Aceh,2019,12.64,Baik,Baik,True
Kota Banda Aceh,2020,12.65,Baik,Baik,True
