kabupaten_kota,tahun,rasio_murid_per_guru_sd,rasio_murid_per_guru_smp,rasio_murid_per_guru_sma,rasio_murid_per_guru_smk,Jenjang_Terlemah,Prediksi_Jenjang_Terlemah
Kabupaten Aceh Timur,2019,11.767284111661883,9.79502292075966,10.342789598108746,8.761099365750528,SD,SD
Kabupaten Aceh Timur,2020,11.079266782264057,9.58276923076923,9.296629213483145,7.852882703777336,SD,SD
Kabupaten Aceh Timur,2021,11.666666666666666,9.454826732673267,9.522727272727273,7.356701030927835,SD,SD
Kabupaten Aceh Timur,2022,11.273258769700051,8.914387633769323,9.417073170731708,6.495361781076067,SD,SD
Kabupaten Aceh Timur,2023,11.082056351952545,8.910105757931845,9.554086538461538,6.99812734082397,SD,SD
Kabupaten Aceh Timur,2024,10.903536203993264,8.777142857142858,9.949458483754512,7.59626168224299,SD,SD
Kabupaten Aceh Timur,2025,10.669682208304337,9.053061224489795,10.373152709359607,7.8658318425760285,SD,SD
Kabupaten Aceh Utara,2016,10.765752936988251,8.70359078590786,9.8497375328084,9.562271062271062,SD,SD
Kabupaten Aceh Utara,2017,10.637784090909092,8.528276329156789,9.68407643312102,8.63036809815951,SD,SD
Kabupaten Aceh Utara,2018,10.947099598686611,8.315771467670201,9.903204708960105,8.51923076923077,SD,SD
Kabupaten Aceh Utara,2019,10.765752936988251,8.668170774036792,10.10842586544742,8.415714285714285,SD,SD
Kabupaten Aceh Utara,2020,10.327138186198589,8.510538641686182,9.627802690582959,8.345221112696148,SD,SD
Kabupaten Aceh Utara,2021,10.70910396839648,8.509109311740891,9.587915818058384,7.663817663817664,SD,SD
Kabupaten Aceh Utara,2022,10.579404466501241,8.323640095791994,8.886211512717537,6.2463576158940395,SD,SD
Kabupaten Aceh Utara,2023,10.691681415929203,8.179114565731666,9.667134831460674,6.010416666666667,SD,SD
Kabupaten Aceh Utara,2024,10.803464121597738,8.493001024240355,9.834242837653479,6.366533864541832,SD,SD
Kabupaten Aceh Utara,2025,10.83108935128519,8.425894948143192,10.2,6.871052631578947,SD,SD
Kabupaten Bener Meriah,2016,12.155719557195573,5.836177474402731,6.969750889679715,6.363636363636363,SD,SD
Kabupaten Bener Meriah,2017,11.233859397417504,5.562715765247411,6.7264808362369335,6.047904191616767,SD,SD
Kabupaten Bener Meriah,2018,13.283783783783784,6.02051282051282,6.273056057866184,6.459770114942529,SD,SD
Kabupaten Bener Meriah,2019,12.155719557195573,6.01063829787234,6.50682261208577,6.802197802197802,SD,SD
Kabupaten Bener Meriah,2020,11.500346020761246,5.864,6.069169960474309,6.838383838383838,SD,SD
Kabupaten Bener Meriah,2021,12.04960460100647,5.896396396396397,6.84304932735426,8.377551020408163,SD,SD
Kabupaten Bener Meriah,2022,11.920056100981768,5.893764434180139,7.547511312217194,6.598039215686274,SD,SD
Kabupaten Bener Meriah,2023,11.52937293729373,6.476355247981545,8.342857142857143,6.507462686567164,SD,SD
Kabupaten Bener Meriah,2024,11.182044887780549,6.876146788990826,9.285714285714286,6.7936507936507935,SD,SD
Kabupaten Bener Meriah,2025,10.766984505363528,7.156571428571429,9.362473347547974,6.758064516129032,SD,SD
Kabupaten Bireuen,2016,8.777603758809711,7.65417224453369,8.838132295719845,7.747706422018348,SMA,SMA
Kabupaten Bireuen,2017,8.394945111054378,7.428761651131825,8.32857142857143,7.959731543624161,SD,SD
Kabupaten Bireuen,2018,8.920235546038544,7.274172185430464,7.897853441894893,7.925764192139738,SD,SD
Kabupaten Bireuen,2019,8.777603758809711,8.304922515952597,8.701540957015409,7.910256410256411,SD,SD
Kabupaten Bireuen,2020,8.602616726526424,8.471320586927524,8.34154090548054,7.545824847250509,SD,SD
Kabupaten Bireuen,2021,8.782608695652174,8.765814266487213,8.598645215918713,7.86875,SD,SD
Kabupaten Bireuen,2022,8.680707228289132,8.42212389380531,8.676068376068375,8.367768595041323,SD,SD
Kabupaten Bireuen,2023,8.732919254658386,8.45037494486105,9.125649913344887,8.383399209486166,SMA,SMA
Kabupaten Bireuen,2024,8.784904688304998,8.401994796183867,9.383233532934131,8.652427184466019,SMA,SMA
Kabupaten Bireuen,2025,8.997929070670464,8.07080745341615,9.830985915492958,9.115384615384615,SMA,SMA
Kabupaten Gayo Lues,2016,12.279775280898876,12.071641791044776,11.062962962962963,6.169491525423729,SD,SD
Kabupaten Gayo Lues,2017,14.42722371967655,11.596590909090908,11.129151291512915,6.363636363636363,SD,SD
Kabupaten Gayo Lues,2018,14.869198312236287,13.025974025974026,10.83969465648855,5.285714285714286,SD,SD
Kabupaten Gayo Lues,2019,12.279775280898876,10.094890510948906,10.522556390977444,4.303571428571429,SD,SD
